Form Label,Form Name,Source,Is Form Dynamic?,Form Dynamic Criteria,V1,S1D-2,SxD-1,SxD1,SxD2,SxD3,SxD8,SxD15,SxD22,S10D-1,S10D1,S10D 2,S10D 3,S10D8,S10D1_1
Dose at the end of maintenance phase,Dose at the end of maintenance phase Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Dose at the end of initial treatment phase,Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Allocation to Maintenance group,Non-repeating form,Library,Yes,"Dynamic should be triggered for dose tapering algorithm form at V14, V16, V18 and V20 only for subjects which are in dose tapering algorithm group",,,,,,,,,,,,,,,
Tanner Staging (Male),Non-repeating form,Library,Yes,Form to be dynamically triggered from the Inf Cons/Demog form for Male subjects only. Form should trigger at every required visit for male subjects,15,,,,,,,,,,,,,,
Date of Menarche,Non-Repeating,Library,Yes,"Dynamic to be triggered, if the Childbearing potential is marked as Yes, from V2. Form should trigger only once at any of the respective visit when Childbearing potential is marked as Yes",,,,,,,,,,,,,,,
Evaluation of Glycaemic Status,Evaluation of Glycaemic Status (Eval Glycaemic Status) Non-repeating,Library,No,,,,,,,,,,,,,,,,
Hunger Single Items,Repeating form,Library,No,,,,,,,,,,,,,,,,
Living with parents/LAR,Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Socioeconomic status,Non-repeating form,Library,No,,,,,,,,,,,,,,,,
Weight History,Non-repeating,Library,No,,16,,,,,,,,,,,,,,
C-SSRS Community Card,Non-Repeating,Library,No,,,,,,,,,,,,,,,,
Technical Complaint for Clinical Study,[ELVTD_LVR_ENZ] – Repeating form,Library,No,,,,,,,,,,,,,,,,
Technical Complaint for Clinical Study,[TECH_COMPL_FORM] – Repeating form,Library,No,,,,,,,,,,,,,,,,
"Medication Error, Misuse and Abuse",[MISADMIN] - Repeating form,Library,No,,,,,,,,,,,,,,,,
Withdrawal of consent to In-trial Interview,Non-repeating form,Library,Yes,Required only for US subjects and form should trigger dynamically when ‘In-trial interview consent obtained?’ is,,,,,,,,,,,,,,,
Consent for In-trial Interviews,Non-repeating form,Library,No,,,,,,,,,,,,,,,,
SIF-Safety Information Form,[SIF] – Repeating form,Library,No,,,,,,,,,,,,,,,,
Date of Menarche,[MENARCHE_DT] (DD/MM/YYYY),Library,Yes,"Dynamic to be triggered, if the Childbearing potential is marked as Yes, from V2. Form should trigger only once at any of the respective visit when Childbearing potential is marked as Yes",,,,,,,,,,,,,,,
SURGICAL PROCEDURES,Repeating Form,Library,Yes,"Does this AE qualify as an event for adjudication? The event type selected is to trigger the availability of the adjudication event form of that event type. The values from AE_TYPE_CODE_C column in DMW are mapped to the NEVAS model in DMW, and they need to be these below for NEVAS to work, If oth...",,,,,,,,,,,,,,,
Obesity related,"23 Personal or first-degree relative(s) history of multiple endocrine neoplasia type 2 or medullary thyroid carcinoma 24 Impairment with estimated glomerular filtration rate (eGFR) <60 mL/min/1.73 m2 , as calculated by central lab at screening using the Bedside Schwartz equation 25 Presence or history of malignant neoplasms or in situ carcinomas (other than basal or squamous cell skin cancer) within 5 years before screening 26 Surgery scheduled for the duration of the study, except for minor surgical procedures, in the opinion of the investigator 27 Known or suspected abuse of alcohol or recreational drugs 28 Use of any medication with unknown or unspecified content within 90 days before screening 29 Known history of heart disease (including history of clinically significant arrhythmias or conduction of delays on electrocardiogram [ECG]) within",Library,No,,,,,,,,,,,,,,,,
Case Book Sign Off (Sign Off),[TERM] - Non-repeating form,Library,Yes,Withdrawal of consent to In-trial interview: Supporting Text ‘and form should trigger dynamically when ‘In-trial interview consent obtained?’ is Yes’ is deleted,,,,,,,,,,,,,,,
